Datum,Uhrzeit,Spannung (V),Strom (A),Leistung (P)
21.06.2020,13:59:13,11.360588364918467,0.3617021276595745,4.109148983055616
21.06.2020,13:59:13,11.324614367562804,0.3617021276595745,4.096137111671653
21.06.2020,13:59:14,11.346198765976201,0.32978723404255317,3.7418315079283215
21.06.2020,13:59:14,11.31741956809167,0.3404255319148936,3.8527385763716326
21.06.2020,13:59:15,11.33900396650507,0.3829787234042554,4.3425972637679
21.06.2020,13:59:15,11.346198765976201,0.35106382978723405,3.983239992310794
21.06.2020,13:59:15,11.295835169678274,0.32978723404255317,3.725222236808792
21.06.2020,13:59:16,11.331809167033935,0.37234042553191493,4.21929064729987
21.06.2020,13:59:16,11.223887174966947,0.3617021276595745,4.059703871796556
21.06.2020,13:59:17,11.346198765976201,0.3191489361702127,3.6211272657370848
21.06.2020,13:59:17,11.346198765976201,0.30851063829787234,3.5004230235458493
21.06.2020,13:59:18,11.360588364918467,0.35106382978723405,3.988291660024568
21.06.2020,13:59:18,11.382172763331866,0.32978723404255317,3.7536952730137
21.06.2020,13:59:18,11.353393565447334,0.3404255319148936,3.864985043556539
21.06.2020,13:59:19,11.353393565447334,0.30851063829787234,3.5026426957231136
21.06.2020,13:59:19,11.33900396650507,0.3617021276595745,4.101341860225238
21.06.2020,13:59:20,11.3677831643896,0.35106382978723405,3.9908174938814556
21.06.2020,13:59:20,11.360588364918467,0.3191489361702127,3.625719690931425
21.06.2020,13:59:21,11.31741956809167,0.32978723404255317,3.7323404958600186
21.06.2020,13:59:21,11.410951961216396,0.3404255319148936,3.88457939105239
21.06.2020,13:59:21,11.3677831643896,0.3191489361702127,3.6280159035285955
21.06.2020,13:59:22,11.346198765976201,0.30851063829787234,3.5004230235458493
21.06.2020,13:59:22,11.382172763331866,0.30851063829787234,3.5115213844321715
21.06.2020,13:59:23,11.346198765976201,0.3404255319148936,3.862535750119558
21.06.2020,13:59:23,11.360588364918467,0.3191489361702127,3.625719690931425
21.06.2020,13:59:24,11.353393565447334,0.3404255319148936,3.864985043556539
21.06.2020,13:59:24,11.360588364918467,0.3191489361702127,3.625719690931425
21.06.2020,13:59:25,11.360588364918467,0.3191489361702127,3.625719690931425
21.06.2020,13:59:25,11.331809167033935,0.32978723404255317,3.73708600189417
21.06.2020,13:59:25,11.346198765976201,0.32978723404255317,3.7418315079283215
21.06.2020,13:59:26,11.346198765976201,0.32978723404255317,3.7418315079283215
21.06.2020,13:59:26,11.353393565447334,0.2978723404255319,3.3818619131119716
21.06.2020,13:59:27,11.353393565447334,0.3191489361702127,3.623423478334255
21.06.2020,13:59:27,11.360588364918467,0.3617021276595745,4.109148983055616
21.06.2020,13:59:28,11.331809167033935,0.3404255319148936,3.857637163245595
21.06.2020,13:59:28,11.324614367562804,0.3404255319148936,3.855187869808614
21.06.2020,13:59:28,11.346198765976201,0.35106382978723405,3.983239992310794
21.06.2020,13:59:29,11.3677831643896,0.32978723404255317,3.748949766979549
21.06.2020,13:59:29,11.324614367562804,0.3404255319148936,3.855187869808614
21.06.2020,13:59:30,11.346198765976201,0.30851063829787234,3.5004230235458493
21.06.2020,13:59:30,11.3677831643896,0.3191489361702127,3.6280159035285955
21.06.2020,13:59:31,11.346198765976201,0.2765957446808511,3.138310296972141
21.06.2020,13:59:31,11.382172763331866,0.32978723404255317,3.7536952730137
21.06.2020,13:59:31,11.353393565447334,0.3191489361702127,3.623423478334255
21.06.2020,13:59:32,11.31741956809167,0.2978723404255319,3.3711462543251782
21.06.2020,13:59:32,11.31741956809167,0.32978723404255317,3.7323404958600186
21.06.2020,13:59:33,11.353393565447334,0.3191489361702127,3.623423478334255
21.06.2020,13:59:33,11.346198765976201,0.32978723404255317,3.7418315079283215
21.06.2020,13:59:34,11.331809167033935,0.3191489361702127,3.616534840542745
21.06.2020,13:59:34,11.353393565447334,0.35106382978723405,3.985765826167681
21.06.2020,13:59:34,11.303029969149405,0.32978723404255317,3.7275949898258673
21.06.2020,13:59:35,11.382172763331866,0.35106382978723405,3.9958691615952295
21.06.2020,13:59:35,11.33900396650507,0.3191489361702127,3.6188310531399153
21.06.2020,13:59:36,11.303029969149405,0.32978723404255317,3.7275949898258673
21.06.2020,13:59:36,11.324614367562804,0.3617021276595745,4.096137111671653
21.06.2020,13:59:37,11.31741956809167,0.3404255319148936,3.8527385763716326
21.06.2020,13:59:37,11.331809167033935,0.35106382978723405,3.9781883245970198
21.06.2020,13:59:38,11.31741956809167,0.37234042553191493,4.213932817906474
21.06.2020,13:59:38,11.310224768620538,0.32978723404255317,3.729967742842943
21.06.2020,13:59:38,11.331809167033935,0.35106382978723405,3.9781883245970198
21.06.2020,13:59:39,11.274250771264875,0.3404255319148936,3.8380428157497444
21.06.2020,13:59:39,11.346198765976201,0.3404255319148936,3.862535750119558
21.06.2020,13:59:40,11.331809167033935,0.37234042553191493,4.21929064729987
21.06.2020,13:59:40,11.295835169678274,0.35106382978723405,3.9655591553125853
21.06.2020,13:59:41,11.310224768620538,0.35106382978723405,3.9706108230263593
21.06.2020,13:59:41,11.295835169678274,0.30851063829787234,3.4848853183049995
21.06.2020,13:59:41,11.28864037020714,0.30851063829787234,3.4826656461277348
21.06.2020,13:59:42,11.295835169678274,0.3829787234042554,4.326064533068275
21.06.2020,13:59:42,11.303029969149405,0.3829787234042554,4.328819988184879
21.06.2020,13:59:43,11.310224768620538,0.3404255319148936,3.850289282934651
21.06.2020,13:59:43,11.31741956809167,0.3617021276595745,4.09353473739486
21.06.2020,13:59:44,11.324614367562804,0.32978723404255317,3.7347132488770947
21.06.2020,13:59:44,11.281445570736008,0.32978723404255317,3.7204767307746405
21.06.2020,13:59:44,11.295835169678274,0.32978723404255317,3.725222236808792
21.06.2020,13:59:45,11.31741956809167,0.3404255319148936,3.8527385763716326
21.06.2020,13:59:45,11.295835169678274,0.3617021276595745,4.085727614564482
21.06.2020,13:59:46,11.331809167033935,0.35106382978723405,3.9781883245970198
21.06.2020,13:59:46,11.310224768620538,0.32978723404255317,3.729967742842943
21.06.2020,13:59:47,11.303029969149405,0.3404255319148936,3.8478399894976696
21.06.2020,13:59:47,11.324614367562804,0.3404255319148936,3.855187869808614
21.06.2020,13:59:48,11.28864037020714,0.3404255319148936,3.8429414026237074
21.06.2020,13:59:48,11.310224768620538,0.3191489361702127,3.609646202751235
21.06.2020,13:59:48,11.31741956809167,0.35106382978723405,3.9731366568832462
21.06.2020,13:59:49,11.324614367562804,0.3404255319148936,3.855187869808614
21.06.2020,13:59:49,11.310224768620538,0.3404255319148936,3.850289282934651
21.06.2020,13:59:50,11.28864037020714,0.3404255319148936,3.8429414026237074
21.06.2020,13:59:50,11.324614367562804,0.28723404255319146,3.252814765151018
21.06.2020,13:59:51,11.295835169678274,0.3191489361702127,3.605053777556895
21.06.2020,13:59:51,11.303029969149405,0.3404255319148936,3.8478399894976696
21.06.2020,13:59:51,11.310224768620538,0.32978723404255317,3.729967742842943
21.06.2020,13:59:52,11.295835169678274,0.3617021276595745,4.085727614564482
21.06.2020,13:59:52,11.295835169678274,0.3191489361702127,3.605053777556895
21.06.2020,13:59:53,11.267055971793743,0.32978723404255317,3.7157312247404897
21.06.2020,13:59:53,11.295835169678274,0.32978723404255317,3.725222236808792
21.06.2020,13:59:54,11.274250771264875,0.3404255319148936,3.8380428157497444
21.06.2020,13:59:54,11.295835169678274,0.2978723404255319,3.3647168590531025
21.06.2020,13:59:55,11.310224768620538,0.28723404255319146,3.2486815824761117
21.06.2020,13:59:55,11.295835169678274,0.32978723404255317,3.725222236808792
21.06.2020,13:59:55,11.303029969149405,0.3191489361702127,3.607349990154065
21.06.2020,13:59:56,11.295835169678274,0.3829787234042554,4.326064533068275
21.06.2020,13:59:56,11.295835169678274,0.3191489361702127,3.605053777556895
21.06.2020,13:59:57,11.310224768620538,0.32978723404255317,3.729967742842943
21.06.2020,13:59:57,11.28864037020714,0.30851063829787234,3.4826656461277348
